Sex,Age,Mx_1950,Mx_2000,Px_1950,Px_2000
Female,0,0.073338,0.004121,242505.55,188287.71
Female,1,0.013643,3.31e-4,265133.4,181324.59
Female,2,0.007391,2.02e-4,281474.14,178447.6
Female,3,0.004426,1.39e-4,251177.66,179403.15
Female,4,0.002995,1.69e-4,261086.74,177859.87
Female,5,0.002411,1.28e-4,258267.74,179463.05
Female,6,0.002008,1.24e-4,252637.97,185402.02
Female,7,0.001712,1.34e-4,237777.69,194333.72
Female,8,0.001492,1.22e-4,205588.44,196124.74
Female,9,0.001178,8.6e-5,228895.84,197392.82
Female,10,0.0012,1.59e-4,225524.36,201137.26
Female,11,9.39e-4,5.9e-5,191111.41,204513.32
Female,12,0.001068,1.25e-4,220634.13,207796.33
Female,13,0.001222,1.68e-4,249433.33,214866.44
Female,14,0.001352,1.45e-4,270669.52,220375.26
Female,15,0.001497,2.32e-4,269269.51,232695.53
Female,16,0.001839,2.03e-4,279058.81,241461.21
Female,17,0.0019,2.7e-4,290197.8,255185.42
Female,18,0.00211,2.41e-4,271735.08,269609.76
Female,19,0.002142,2.82e-4,275164.15,286877.41
Female,20,0.002478,2.89e-4,275491.75,300585.57
Female,21,0.002286,2.56e-4,266251.2,316974.8
Female,22,0.002731,2.75e-4,265805.22,330461.37
Female,23,0.002869,2.26e-4,264489.89,340762.96
Female,24,0.002829,3.15e-4,257999.98,345552.84
Female,25,0.002817,2.88e-4,257339.26,346632.89
Female,26,0.00288,2.92e-4,248562.76,339271.13
Female,27,0.00288,3.21e-4,249222.22,339728.49
Female,28,0.003092,3.08e-4,238340.49,337275.98
Female,29,0.002652,2.94e-4,233637.74,332806.65
Female,30,0.003178,4.66e-4,227745.31,330694.69
Female,31,0.00255,3.78e-4,190681.79,328188.78
Female,32,0.003074,4.45e-4,209047.73,334888.46
Female,33,0.003005,5.09e-4,198826.01,332108.23
Female,34,0.003069,5.06e-4,197002.33,330098.11
Female,35,0.00292,5.46e-4,209809.94,333110.53
Female,36,0.003297,7.07e-4,202191.27,329647.61
Female,37,0.003232,7.05e-4,205679.22,317613.34
Female,38,0.003672,7.08e-4,199046.75,310812.49
Female,39,0.002934,7.8e-4,210493.02,309149.92
Female,40,0.004664,0.001039,198818.29,308867.73
Female,41,0.003189,9.18e-4,181381.87,302731.66
Female,42,0.004415,0.001078,188465.67,296953.58
Female,43,0.003668,0.001076,178742.66,282454.77
Female,44,0.004133,0.001233,187014.43,270947.27
Female,45,0.004703,0.001244,185902.75,263634.64
Female,46,0.00481,0.001423,173839.85,256477.81
Female,47,0.004479,0.001536,172350.64,258524.67
Female,48,0.00544,0.001538,164751.95,248325.3
Female,49,0.00478,0.001736,185415.83,243091.23
Female,50,0.007293,0.00181,178833.07,241448.95
Female,51,0.005471,0.00209,133219.08,255084.42
Female,52,0.008117,0.002103,135120.56,258676.98
Female,53,0.007139,0.002271,136222.14,228997.43
Female,54,0.008139,0.002342,141279.39,242070.19
Female,55,0.008267,0.002805,136184.64,238833.19
Female,56,0.010042,0.002821,124991.75,233617.47
Female,57,0.009299,0.002897,121933.64,219540.35
Female,58,0.011728,0.003246,117199.45,185754.34
Female,59,0.010036,0.003815,128068.16,205226.22
Female,60,0.016943,0.003974,121124.09,200054.33
Female,61,0.012915,0.004457,107664.31,169168.91
Female,62,0.016609,0.004915,111728.3,191439.97
Female,63,0.016975,0.005465,107013.68,216103.88
Female,64,0.018703,0.005565,111600.19,226055.63
Female,65,0.023119,0.006589,108885.94,220204.63
Female,66,0.024235,0.007431,94315.4,225265.2
Female,67,0.027795,0.008017,87105.31,229132.82
Female,68,0.03322,0.009318,79248.49,220328.66
Female,69,0.027006,0.010441,87870.73,220286.03
Female,70,0.050038,0.011762,77597.02,212373.65
Female,71,0.038131,0.013013,64599.46,207947.22
Female,72,0.052803,0.014838,67174.11,197872.13
Female,73,0.05331,0.01661,62209.51,193132.29
Female,74,0.057936,0.01947,61585.95,184595.72
Female,75,0.067773,0.022126,55678.94,180241.35
Female,76,0.075061,0.025082,46787.2,172074.8
Female,77,0.074326,0.028847,43216.84,165040.79
Female,78,0.102338,0.03375,35766.43,155761.46
Female,79,0.071029,0.038257,38475.88,139321.16
Female,80,0.132096,0.044347,32293.08,133040.99
Female,81,0.080682,0.050758,26889.49,112927.13
Female,82,0.122837,0.05875,22786.87,109428.92
Female,83,0.120024,0.068362,20038.26,98826.53
Female,84,0.167981,0.076458,17558.34,90245.57
Female,85,0.16565,0.086995,14724.87,85200.49
Female,86,0.186781,0.098928,11964.01,75317.09
Female,87,0.182078,0.111966,9531.01,68065.12
Female,88,0.196299,0.129323,7722.09,57228.65
Female,89,0.202729,0.144716,6433.67,48543.35
Female,90,0.278149,0.165768,5128.93,40152.46
Female,91,0.151886,0.184866,3854.72,31585.09
Female,92,0.2328,0.204536,2919.76,24963.76
Female,93,0.221187,0.228662,2234.54,18805.02
Female,94,0.267565,0.251223,1742.27,14178.66
Female,95,0.276962,0.271861,1303.11,10133.86
Female,96,0.343934,0.300944,935.67,7260.49
Female,97,0.315213,0.310618,642.49,5122.05
Female,98,0.4619,0.319114,416.74,3280.96
Female,99,0.453923,0.34236,258.39,2079.68
Female,100,0.462882,0.378892,160.28,1290.61
Female,101,0.260357,0.413136,100.13,629.33
Female,102,0.459587,0.414993,65.45,373.5
Female,103,0.422318,0.506128,42.72,231.17
Female,104,0.27516,0.532637,29.15,127.67
Female,105,0.342532,0.485294,18.48,68
Female,106,0.515904,0.5,11.48,40
Female,107,0.653687,0.832117,8.05,22.83
Female,108,0.65861,0.5,6.62,12
Female,109,0.549842,1.230769,5.8,6.5
Female,110,0.235064,0.774194,8.51,5.17
Male,0,0.083817,0.004722,257794.32,200108.45
Male,1,0.013613,4.52e-4,278937.15,192320.59
Male,2,0.007636,2.85e-4,292700.65,189181.9
Male,3,0.004639,2.17e-4,259722.84,189253.74
Male,4,0.003204,1.65e-4,274010.22,187723.39
Male,5,0.00245,1.95e-4,272724.06,189855.94
Male,6,0.00222,1.88e-4,261701.42,196308.66
Male,7,0.001767,1.56e-4,249865.59,205304.66
Male,8,0.001564,1.54e-4,220645.98,207361.01
Male,9,0.001411,1.53e-4,236770.02,208829.97
Male,10,0.001487,1.46e-4,230069.05,212482.25
Male,11,0.001374,1.34e-4,197165.88,216198.59
Male,12,0.001196,1.46e-4,228156.11,219617.76
Male,13,0.001375,1.9e-4,256900.85,226651.94
Male,14,0.001549,3.23e-4,272089.38,232194.5
Male,15,0.001838,3.46e-4,263048.24,245591.21
Male,16,0.001759,5.23e-4,272029.35,254444.71
Male,17,0.002023,7.02e-4,283219.91,267979.6
Male,18,0.002909,7.02e-4,264148.73,283518.84
Male,19,0.002919,7.3e-4,265669.74,301358.42
Male,20,0.003239,8.55e-4,269142.88,314533.01
Male,21,0.002998,8.54e-4,278049.11,332520.5
Male,22,0.003393,7.99e-4,273765.45,347756.23
Male,23,0.003688,8.33e-4,250817.97,357865.09
Male,24,0.003982,9.14e-4,247175.57,362118.37
Male,25,0.004073,9.04e-4,243831.93,362827.93
Male,26,0.004169,9.79e-4,239181.38,354616.74
Male,27,0.003945,8.97e-4,236726.25,355567.48
Male,28,0.004034,0.001063,225292.99,352629.2
Male,29,0.003744,0.00101,215445.32,347392.31
Male,30,0.004379,0.00105,203656.03,343960.22
Male,31,0.003999,0.001223,168853.72,339442.34
Male,32,0.004214,0.001272,176156.22,344295.18
Male,33,0.004254,0.001346,171459.92,340193.54
Male,34,0.004263,0.00138,170131.57,336859.36
Male,35,0.004587,0.001637,176061.84,337911.79
Male,36,0.004359,0.001672,171907.17,334265.54
Male,37,0.004353,0.00174,175160.32,321312.55
Male,38,0.00507,0.001905,170757.61,312306.43
Male,39,0.004515,0.001906,195082.62,309627.04
Male,40,0.005614,0.002211,196201.04,308895.77
Male,41,0.004915,0.002174,169208.93,302230.4
Male,42,0.00629,0.00244,170988.41,295928.39
Male,43,0.006215,0.002662,160446.49,280991.18
Male,44,0.0064,0.002919,167110.88,269298.33
Male,45,0.007561,0.003091,165720.08,261064.76
Male,46,0.00716,0.003147,156650.44,254196.52
Male,47,0.008005,0.00378,156902.17,257645.92
Male,48,0.008969,0.003831,150220.62,247167.64
Male,49,0.008461,0.004185,158413.52,240840.05
Male,50,0.01257,0.004901,152992.48,237290.29
Male,51,0.009209,0.00492,124075.17,248974.3
Male,52,0.012054,0.005442,122840.19,252669.33
Male,53,0.01244,0.005915,121293.24,222473.02
Male,54,0.014181,0.006369,123660.5,233480.08
Male,55,0.014929,0.006783,118340.79,229407.51
Male,56,0.016447,0.007742,108695.97,224374.25
Male,57,0.017199,0.008148,103652.52,210982.06
Male,58,0.020927,0.008787,98513.39,178110.87
Male,59,0.018603,0.009692,102787.11,195425.07
Male,60,0.025612,0.010445,99650.24,186884.05
Male,61,0.020307,0.011898,94310.71,154903.94
Male,62,0.027545,0.012742,92838.01,175326.3
Male,63,0.029431,0.014088,84810.45,194847.47
Male,64,0.029628,0.015539,85837.35,201744.56
Male,65,0.035694,0.017156,82969.49,196839.63
Male,66,0.03683,0.017972,71667.38,199314.8
Male,67,0.041367,0.020502,66182.52,200659.12
Male,68,0.04593,0.021619,61267.77,191268.23
Male,69,0.040967,0.024358,65311.29,187618.9
Male,70,0.062452,0.026782,58456.93,176465.05
Male,71,0.05064,0.02972,49130.86,169919.11
Male,72,0.07113,0.032798,48969.22,158576.92
Male,73,0.073839,0.036269,43178.12,152031.97
Male,74,0.075458,0.039612,40417.06,141345.98
Male,75,0.089164,0.044457000000000003,36409.78,133860.61
Male,76,0.097974,0.049307,30749.94,125417.39
Male,77,0.100529,0.054904,27892.48,116203.68
Male,78,0.132224,0.061433,23118.63,106913.73
Male,79,0.099506,0.068329,23218.89,91483.46
Male,80,0.156479,0.076039,19496.58,79143.57
Male,81,0.10813,0.083525,15633.37,63238.57
Male,82,0.154898,0.092612,12784.96,58383.66
Male,83,0.159877,0.100566,10899.65,51299.83
Male,84,0.19702,0.112276,9241.95,45486
Male,85,0.204942,0.122485,7523.88,41180.42
Male,86,0.223521,0.141691,5825.82,35062.17
Male,87,0.226413,0.153631,4377.81,30527.73
Male,88,0.263052,0.170298,3321.82,24832.92
Male,89,0.256999,0.183243,2615.46,20235.37
Male,90,0.306139,0.202305,1979.33,16109.37
Male,91,0.207215,0.234374,1370.12,12480.04
Male,92,0.338449,0.248197,951.52,9488.45
Male,93,0.277172,0.275688,676.84,6706.86
Male,94,0.276755,0.296969,503.88,4815.32
Male,95,0.333581,0.344151,363.9,3335.75
Male,96,0.450143,0.350622,238.48,2198.95
Male,97,0.378955,0.35814,150.92,1485.45
Male,98,0.626485,0.372449,92.88,982.68
Male,99,0.561854,0.394778,51.78,623.13
Male,100,0.456045,0.478939,30.81,342.42
Male,101,0.568819,0.533927,15.88,149.83
Male,102,0.235225,0.603291,8.55,91.17
Male,103,0.482501,0.525974,6.24,51.33
Male,104,0,0.825,4.31,26.67
Male,105,0,0.342857,3.01,11.67
Male,106,0,2.076923,2.15,4.33
Male,107,0,0.666667,1.75,3
Male,108,0,1,1.58,2
Male,109,0,0,1.36,1
Male,110,0,0,1.62,2.5
Total,0,0.078738,0.004431,500299.87,388396.17
Total,1,0.013628,3.93e-4,544070.55,373645.18
Total,2,0.007516,2.45e-4,574174.79,367629.5
Total,3,0.004535,1.79e-4,510900.5,368656.9
Total,4,0.003102,1.67e-4,535096.95,365583.26
Total,5,0.002431,1.62e-4,530991.8,369318.99
Total,6,0.002116,1.57e-4,514339.39,381710.68
Total,7,0.00174,1.45e-4,487643.28,399638.38
Total,8,0.001529,1.39e-4,426234.42,403485.75
Total,9,0.001297,1.21e-4,465665.86,406222.79
Total,10,0.001345,1.52e-4,455593.41,413619.5
Total,11,0.00116,9.7e-5,388277.28,420711.91
Total,12,0.001133,1.36e-4,448790.24,427414.09
Total,13,0.001299,1.79e-4,506334.18,441518.37
Total,14,0.001451,2.36e-4,542758.91,452569.77
Total,15,0.001665,2.91e-4,532317.75,478286.74
Total,16,0.0018,3.67e-4,551088.17,495905.92
Total,17,0.001961,4.91e-4,573417.72,523165.01
Total,18,0.002504,4.77e-4,535883.81,553128.59
Total,19,0.002524,5.12e-4,540833.88,588235.83
Total,20,0.002854,5.79e-4,544634.63,615118.58
Total,21,0.00265,5.62e-4,544300.31,649495.3
Total,22,0.003067,5.44e-4,539570.66,678217.61
Total,23,0.003268,5.37e-4,515307.86,698628.05
Total,24,0.003393,6.22e-4,505175.56,707671.21
Total,25,0.003428,6.03e-4,501171.18,709460.82
Total,26,0.003512,6.43e-4,487744.14,693887.87
Total,27,0.003399,6.16e-4,485948.46,695295.97
Total,28,0.00355,6.94e-4,463633.47,689905.18
Total,29,0.003176,6.6e-4,449083.06,680198.96
Total,30,0.003745,7.63e-4,431401.34,674654.91
Total,31,0.00323,8.07e-4,359535.51,667631.12
Total,32,0.003596,8.64e-4,385203.94,679183.64
Total,33,0.003583,9.33e-4,370285.92,672301.78
Total,34,0.003622,9.48e-4,367133.9,666957.47
Total,35,0.00368,0.001095,385871.77,671022.32
